timestamp,vtol_in_rw_mode,vtol_in_trans_mode,in_transition_to_fw,vtol_transition_failsafe,fw_permanent_stab
3305842,1,1,1,0,0
3468317,0,0,0,0,0
8408450,0,0,0,0,0
8610937,0,0,0,0,0
8810953,0,0,0,0,0
9014305,0,0,0,0,0
9217233,0,0,0,0,0
9421390,0,0,0,0,0
9623588,0,0,0,0,0
9827001,0,0,0,0,0
10032021,0,0,0,0,0
10234810,0,0,0,0,0
10435103,0,0,0,0,0
10638011,0,0,0,0,0
10841239,0,0,0,0,0
11044425,0,0,0,0,0
11248542,0,0,0,0,0
11451650,0,0,0,0,0
11654852,0,0,0,0,0
11858994,0,0,0,0,0
12061981,0,0,0,0,0
12262819,0,0,0,0,0
12465193,0,0,0,0,0
12668717,0,0,0,0,0
12871653,0,0,0,0,0
13075613,0,0,0,0,0
13278810,0,0,0,0,0
13481999,0,0,0,0,0
13686050,0,0,0,0,0
13889491,0,0,0,0,0
14092580,0,0,0,0,0
14292451,0,0,0,0,0
14495606,0,0,0,0,0
14698823,0,0,0,0,0
14902814,0,0,0,0,0
15106047,0,0,0,0,0
16119623,0,0,0,0,0
16322761,0,0,0,0,0
16525990,0,0,0,0,0
16729981,0,0,0,0,0
16933235,0,0,0,0,0
17133356,0,0,0,0,0
17336591,0,0,0,0,0
17539627,0,0,0,0,0
17742967,0,0,0,0,0
17942847,0,0,0,0,0
18146147,0,0,0,0,0
18350080,0,0,0,0,0
18553410,0,0,0,0,0
18756727,0,0,0,0,0
18959772,0,0,0,0,0
19159678,0,0,0,0,0
19362836,0,0,0,0,0
19562830,0,0,0,0,0
19766038,0,0,0,0,0
19969220,0,0,0,0,0
20172415,0,0,0,0,0
20376713,0,0,0,0,0
20579553,0,0,0,0,0
20782839,0,0,0,0,0
20986988,0,0,0,0,0
21186350,0,0,0,0,0
21389404,0,0,0,0,0
21589272,0,0,0,0,0
21792473,0,0,0,0,0
21998861,0,0,0,0,0
22199588,0,0,0,0,0
22402975,0,0,0,0,0
22606183,0,0,0,0,0
22806030,0,0,0,0,0
23009276,0,0,0,0,0
23211745,0,0,0,0,0
23412414,0,0,0,0,0
23615773,0,0,0,0,0
23818852,0,0,0,0,0
24018981,0,0,0,0,0
24222011,0,0,0,0,0
24425238,0,0,0,0,0
24629317,0,0,0,0,0
24832428,0,0,0,0,0
25031904,0,0,0,0,0
25235812,0,0,0,0,0
25438753,0,0,0,0,0
25642150,0,0,0,0,0
25842204,0,0,0,0,0
26045245,0,0,0,0,0
26248436,0,0,0,0,0
26452437,0,0,0,0,0
26655584,0,0,0,0,0
26858854,0,0,0,0,0
27063104,0,0,0,0,0
27266009,0,0,0,0,0
27868549,0,0,0,0,0
28071630,0,0,0,0,0
28275624,0,0,0,0,0
28478990,0,0,0,0,0
28682031,0,0,0,0,0
28885976,0,0,0,0,0
29089342,0,0,0,0,0
29292426,0,0,0,0,0
29492524,0,0,0,0,0
29695584,0,0,0,0,0
30713424,0,0,0,0,0
30916744,0,0,0,0,0
31119773,0,0,0,0,0
31322838,0,0,0,0,0
31522976,0,0,0,0,0
31727014,0,0,0,0,0
31930043,0,0,0,0,0
32133502,0,0,0,0,0
32336734,0,0,0,0,0
32539784,0,0,0,0,0
32743794,0,0,0,0,0
32947104,0,0,0,0,0
33146967,0,0,0,0,0
33350172,0,0,0,0,0
33553201,0,0,0,0,0
33757192,0,0,0,0,0
33960398,0,0,0,0,0
34163612,0,0,0,0,0
34366826,0,0,0,0,0
34566952,0,0,0,0,0
34770018,0,0,0,0,0
34973229,0,0,0,0,0
35173376,0,0,0,0,0
35376699,0,0,0,0,0
35579667,0,0,0,0,0
35783594,0,0,0,0,0
35986953,0,0,0,0,0
36190827,0,0,0,0,0
36394213,0,0,0,0,0
36597355,0,0,0,0,0
36798797,0,0,0,0,0
37000433,0,0,0,0,0
37203889,0,0,0,0,0
37406862,0,0,0,0,0
37610800,0,0,0,0,0
37814065,0,0,0,0,0
38017349,0,0,0,0,0
38221390,0,0,0,0,0
38420574,0,0,0,0,0
38623744,0,0,0,0,0
38823638,0,0,0,0,0
39026986,0,0,0,0,0
39230169,0,0,0,0,0
39434032,0,0,0,0,0
39637196,0,0,0,0,0
39840400,0,0,0,0,0
40041402,0,0,0,0,0
40243775,0,0,0,0,0
40447152,0,0,0,0,0
40646983,0,0,0,0,0
40850045,0,0,0,0,0
41053364,0,0,0,0,0
41257537,0,0,0,0,0
41460590,0,0,0,0,0
41663913,0,0,0,0,0
41866997,0,0,0,0,0
42070836,0,0,0,0,0
42274293,0,0,0,0,0
42476734,0,0,0,0,0
42677249,0,0,0,0,0
42880400,0,0,0,0,0
43082989,0,0,0,0,0
43283589,0,0,0,0,0
43486958,0,0,0,0,0
43690792,0,0,0,0,0
43894165,0,0,0,0,0
44097203,0,0,0,0,0
44300711,0,0,0,0,0
44500430,0,0,0,0,0
44703781,0,0,0,0,0
44907182,0,0,0,0,0
45110779,0,0,0,0,0
45314191,0,0,0,0,0
45517377,0,0,0,0,0
45720581,0,0,0,0,0
45924547,0,0,0,0,0
46127781,0,0,0,0,0
46330833,0,0,0,0,0
46530829,0,0,0,0,0
46733976,0,0,0,0,0
46936720,0,0,0,0,0
47137196,0,0,0,0,0
47340593,0,0,0,0,0
47542166,0,0,0,0,0
47743988,0,0,0,0,0
47947034,0,0,0,0,0
48151036,0,0,0,0,0
48350012,0,0,0,0,0
48553428,0,0,0,0,0
48751743,0,0,0,0,0
48956756,0,0,0,0,0
49159772,0,0,0,0,0
49362948,0,0,0,0,0
49566837,0,0,0,0,0
49769992,0,0,0,0,0
50983012,0,0,0,0,0
51186034,0,0,0,0,0
51390016,0,0,0,0,0
51593208,0,0,0,0,0
51796731,0,0,0,0,0
51998878,0,0,0,0,0
52199643,0,0,0,0,0
52402807,0,0,0,0,0
52602835,0,0,0,0,0
52806043,0,0,0,0,0
53009365,0,0,0,0,0
53212395,0,0,0,0,0
53416713,0,0,0,0,0
53619762,0,0,0,0,0
53822994,0,0,0,0,0
54026987,0,0,0,0,0
54230357,0,0,0,0,0
54433356,0,0,0,0,0
54633224,0,0,0,0,0
54836560,0,0,0,0,0
55039937,0,0,0,0,0
55243801,0,0,0,0,0
55446953,0,0,0,0,0
55650959,0,0,0,0,0
55854058,0,0,0,0,0
56057248,0,0,0,0,0
56256727,0,0,0,0,0
56459653,0,0,0,0,0
56659625,0,0,0,0,0
56862943,0,0,0,0,0
57067099,0,0,0,0,0
